date,year,month,category,state,county,title,fema_number
7/7/2023,2023,7,Flood,VT,Rutland County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
4/10/2023,2023,4,Flood,ND,Morton County,FLOODING,4717
1/8/2023,2023,1,Flood,CA,El Dorado County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,El Dorado County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
2/15/2023,2023,2,Flood,KY,Breathitt County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
7/9/2023,2023,7,Flood,VT,Windsor County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Windsor County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
4/9/2023,2023,4,Flood,SD,Day County,FLOODING,4718
1/8/2023,2023,1,Flood,CA,Kings County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Kings County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,VT,Caledonia County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Caledonia County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
1/8/2023,2023,1,Flood,CA,Mono County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Mono County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/9/2023,2023,4,Flood,SD,Roberts County,FLOODING,4718
6/8/2023,2023,6,Flood,CO,Washington County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
1/8/2023,2023,1,Flood,CA,Napa County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Napa County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
3/8/2023,2023,3,Flood,NV,Storey County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708
3/8/2023,2023,3,Flood,NV,Mineral County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708
6/1/2023,2023,6,Flood,MT,Golden Valley County,FLOODING,4745
4/30/2023,2023,4,Flood,ME,Oxford County,SEVERE STORM AND FLOODING,4719
6/26/2023,2023,6,Flood,ME,Oxford County,SEVERE STORM AND FLOODING,4737
1/8/2023,2023,1,Flood,CA,Sutter County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
6/29/2023,2023,6,Flood,ME,Franklin County,SEVERE STORM AND FLOODING,4736
4/30/2023,2023,4,Flood,ME,Franklin County,SEVERE STORM AND FLOODING,4719
1/8/2023,2023,1,Flood,CA,San Luis Obispo County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,San Luis Obispo County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/30/2023,2023,4,Flood,ME,Somerset County,SEVERE STORM AND FLOODING,4719
4/30/2023,2023,4,Flood,ME,Kennebec County,SEVERE STORM AND FLOODING,4719
3/8/2023,2023,3,Flood,NV,Lincoln County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708
2/15/2023,2023,2,Flood,KY,Floyd County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
3/9/2023,2023,3,Flood,CA,Nevada County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,ND,Burke County,FLOODING,4717
4/9/2023,2023,4,Flood,SD,Marshall County,FLOODING,4718
6/8/2023,2023,6,Flood,CO,Kit Carson County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
2/15/2023,2023,2,Flood,KY,Morgan County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/10/2023,2023,4,Flood,ND,McHenry County,FLOODING,4717
1/8/2023,2023,1,Flood,CA,Santa Cruz County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Santa Cruz County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,VT,Addison County,FLOODING,3595
8/3/2023,2023,8,Flood,VT,Addison County,SEVERE STORMS AND FLOODING,4744
7/7/2023,2023,7,Flood,VT,Addison County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
5/12/2023,2023,5,Flood,AK,Lower Kuskokwim Regional Educational Attendance Area,FLOODING,4730
4/11/2023,2023,4,Flood,MN,Marshall County,SEVERE STORMS AND FLOODING,4722
6/8/2023,2023,6,Flood,CO,El Paso County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
4/30/2023,2023,4,Flood,ME,Sagadahoc County,SEVERE STORM AND FLOODING,4719
2/15/2023,2023,2,Flood,KY,Clay County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
7/9/2023,2023,7,Flood,NH,Rockingham County,SEVERE STORMS AND FLOODING,4740
4/11/2023,2023,4,Flood,MN,Renville County,SEVERE STORMS AND FLOODING,4722
4/10/2023,2023,4,Flood,ND,Dunn County,FLOODING,4717
3/9/2023,2023,3,Flood,CA,Plumas County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
2/15/2023,2023,2,Flood,KY,Hart County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/10/2023,2023,4,Flood,ND,Ransom County,FLOODING,4717
1/8/2023,2023,1,Flood,CA,Santa Barbara County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Santa Barbara County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
2/15/2023,2023,2,Flood,KY,Carter County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/11/2023,2023,4,Flood,MN,Kittson County,SEVERE STORMS AND FLOODING,4722
4/11/2023,2023,4,Flood,MN,Houston County,SEVERE STORMS AND FLOODING,4722
5/1/2023,2023,5,Flood,UT,Wasatch County,FLOODING,4752
1/8/2023,2023,1,Flood,CA,Yolo County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
4/10/2023,2023,4,Flood,ND,Hettinger County,FLOODING,4717
4/11/2023,2023,4,Flood,MN,St. Louis County,SEVERE STORMS AND FLOODING,4722
4/10/2023,2023,4,Flood,ND,Wells County,FLOODING,4717
5/1/2023,2023,5,Flood,UT,Sanpete County,FLOODING,4752
6/1/2023,2023,6,Flood,MT,Petroleum County,FLOODING,4745
4/24/2023,2023,4,Flood,IA,Clayton County,FLOODING,4732
4/30/2023,2023,4,Flood,ME,Knox County,SEVERE STORM AND FLOODING,4719
1/8/2023,2023,1,Flood,CA,Orange County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Orange County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,MT,Blaine County,FLOODING,4726
3/9/2023,2023,3,Flood,CA,Imperial County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
1/8/2023,2023,1,Flood,CA,Colusa County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
5/12/2023,2023,5,Flood,AK,Lower Yukon Regional Educational Attendance Area,FLOODING,4730
4/24/2023,2023,4,Flood,IA,Allamakee County,FLOODING,4732
4/24/2023,2023,4,Flood,IA,Scott County,FLOODING,4732
7/9/2023,2023,7,Flood,VT,Essex County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Essex County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
9/17/2023,2023,9,Flood,IL,Cook County,SEVERE STORMS AND FLOODING,4749
4/30/2023,2023,4,Flood,ME,Lincoln County,SEVERE STORM AND FLOODING,4719
6/8/2023,2023,6,Flood,CO,Logan County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
4/10/2023,2023,4,Flood,MT,Park County,FLOODING,4726
4/9/2023,2023,4,Flood,SD,Lake Traverse Sisseton Indian Reservation,FLOODING,4718
4/11/2023,2023,4,Flood,MN,Wilkin County,SEVERE STORMS AND FLOODING,4722
4/11/2023,2023,4,Flood,MN,Pine County,SEVERE STORMS AND FLOODING,4722
4/12/2023,2023,4,Flood,FL,Broward County,"SEVERE STORMS, TORNADOES, AND FLOODING",4709
6/15/2023,2023,6,Flood,WY,Natrona County,FLOODING,4739
3/9/2023,2023,3,Flood,CA,Sierra County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
6/1/2023,2023,6,Flood,MT,Phillips County,FLOODING,4745
1/8/2023,2023,1,Flood,CA,Humboldt County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Humboldt County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/24/2023,2023,4,Flood,IA,Des Moines County,FLOODING,4732
5/12/2023,2023,5,Flood,AK,Kuspuk Regional Educational Attendance Area,FLOODING,4730
4/11/2023,2023,4,Flood,MN,Lake of the Woods County,SEVERE STORMS AND FLOODING,4722
1/8/2023,2023,1,Flood,CA,Mariposa County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Mariposa County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,VT,Grand Isle County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Grand Isle County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
6/8/2023,2023,6,Flood,CO,Douglas County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
4/10/2023,2023,4,Flood,MT,Fort Peck Indian Reservation,FLOODING,4726
1/8/2023,2023,1,Flood,CA,Alameda County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Alpine County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/9/2023,2023,4,Flood,SD,Hand County,FLOODING,4718
4/30/2023,2023,4,Flood,ME,Waldo County,SEVERE STORM AND FLOODING,4719
4/10/2023,2023,4,Flood,ND,Sargent County,FLOODING,4717
1/8/2023,2023,1,Flood,CA,Marin County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
6/8/2023,2023,6,Flood,CO,Jefferson County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
