,date,year,month,category,state,county,title,fema_number,area
2850,6/4/10,2010,6,Flood,WY,Wind River Indian Reservation,FLOODING,1923,"97,105"
2853,2/26/10,2010,2,Flood,ND,Spirit Lake Reservation,FLOODING,1907,"68,994"
2883,3/1/14,2014,3,Flood,MT,Broadwater County,ICE JAMS AND FLOODING,4172,"145,556"
2898,9/7/14,2014,9,Flood,AZ,La Paz County,SEVERE STORMS AND FLOODING,4203,"113,642"
2900,4/15/14,2014,4,Flood,VT,Caledonia County,SEVERE STORMS AND FLOODING,4178,"9,249"
2907,8/11/14,2014,8,Flood,MI,Macomb County,SEVERE STORMS AND FLOODING,4195,"56,539"
2910,6/13/14,2014,6,Flood,SD,Standing Rock Sioux Tribe of North & South Dakota,"SEVERE STORMS, TORNADOES, AND FLOODING",4186,"75,898"
2923,6/14/14,2014,6,Flood,IA,Sac and Fox Tribe of the Mississippi in Iowa,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4184,"55,875"
2950,6/25/14,2014,6,Flood,ND,Standing Rock Sioux Tribe of North & South Dakota,SEVERE STORMS AND FLOODING,4190,"68,994"
2960,9/7/14,2014,9,Flood,NV,Moapa River Indian Reservation,SEVERE STORMS AND FLOODING,4202,"109,806"
2961,10/27/13,2013,10,Flood,AK,Kenai Peninsula Borough,FLOODING,4161,"570,641"
2962,6/11/14,2014,6,Flood,MN,Bois Forte Nett Lake Indian Reservation,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4182,"79,617"
3002,2/5/20,2020,2,Flood,OR,Union County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4519,"96,003"
3006,1/20/20,2020,1,Flood,WA,Columbia County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4539,"66,582"
3021,10/9/19,2019,10,Flood,ND,Barnes County,FLOODING,4475,"68,994"
3039,1/10/20,2020,1,Flood,WI,Kenosha County,SEVERE WINTER STORM AND FLOODING,4477,"54,314"
3042,4/1/20,2020,4,Flood,ND,Barnes County,FLOODING,4553,"68,994"
3062,3/16/07,2007,3,Flood,ME,Hancock County,FLOODING,1691,"30,865"
3066,4/24/23,2023,4,Flood,IA,Allamakee County,FLOODING,4732,"55,875"
3073,9/17/23,2023,9,Flood,IL,Cook County,SEVERE STORMS AND FLOODING,4749,"55,593"
3074,7/9/23,2023,7,Flood,VT,Addison County,FLOODING,3595,"9,249"
3088,6/1/23,2023,6,Flood,MT,Carbon County,FLOODING,4745,"145,556"
3098,6/29/23,2023,6,Flood,ME,Franklin County,SEVERE STORM AND FLOODING,4736,"30,865"
3099,4/12/23,2023,4,Flood,FL,Broward County,"SEVERE STORMS, TORNADOES, AND FLOODING",4709,"53,997"
3100,12/27/22,2022,12,Flood,CA,Alpine County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4683,"155,973"
3144,4/30/23,2023,4,Flood,ME,Franklin County,SEVERE STORM AND FLOODING,4719,"30,865"
3152,5/1/23,2023,5,Flood,UT,Iron County,FLOODING,4752,"82,168"
3157,5/12/23,2023,5,Flood,AK,Bering Strait Regional Educational Attendance Area,FLOODING,4730,"570,641"
3167,2/15/23,2023,2,Flood,KY,Bell County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732"
3189,4/9/23,2023,4,Flood,SD,Lake Traverse Sisseton Indian Reservation,FLOODING,4718,"75,898"
3200,4/10/23,2023,4,Flood,ND,Barnes County,FLOODING,4717,"68,994"
3221,8/3/23,2023,8,Flood,VT,Addison County,SEVERE STORMS AND FLOODING,4744,"9,249"
3222,1/8/23,2023,1,Flood,CA,Alameda County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973"
3263,7/7/23,2023,7,Flood,VT,Addison County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249"
3277,7/9/23,2023,7,Flood,NH,Belknap County,SEVERE STORMS AND FLOODING,4740,"8,969"
3284,6/15/23,2023,6,Flood,WY,Natrona County,FLOODING,4739,"97,105"
3285,3/9/23,2023,3,Flood,CA,Alpine County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973"
3328,6/8/23,2023,6,Flood,CO,Baca County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730"
3342,3/8/23,2023,3,Flood,NV,Douglas County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708,"109,806"
3348,6/26/23,2023,6,Flood,ME,Oxford County,SEVERE STORM AND FLOODING,4737,"30,865"
3349,4/10/23,2023,4,Flood,MT,Fort Peck Indian Reservation,FLOODING,4726,"145,556"
3357,4/11/23,2023,4,Flood,MN,Prairie Island Community Indian Reservation,SEVERE STORMS AND FLOODING,4722,"79,617"
3383,9/11/12,2012,9,Flood,UT,Washington County,SEVERE STORM AND FLOODING,4088,"82,168"
3384,6/22/12,2012,6,Flood,NM,Mescalero Tribe,FLOODING,4079,"121,365"
3389,1/17/12,2012,1,Flood,OR,Benton County,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",4055,"96,003"
3401,3/13/19,2019,3,Flood,IA,Sac and Fox Tribe of the Mississippi in Iowa,SEVERE STORMS AND FLOODING,4430,"55,875"
3402,6/29/19,2019,6,Flood,WV,Grant County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4455,"24,087"
3407,3/20/19,2019,3,Flood,MT,Daniels County,FLOODING,4437,"145,556"
