date,year,month,category,state,county,title,fema_number,area(sq_miles),thousand_square_miles,first,last,change
7/7/2023,2023,7,Flood,VT,Rutland County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
4/10/2023,2023,4,Flood,ND,Morton County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
1/8/2023,2023,1,Flood,CA,El Dorado County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,El Dorado County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
2/15/2023,2023,2,Flood,KY,Breathitt County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
7/9/2023,2023,7,Flood,VT,Windsor County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/7/2023,2023,7,Flood,VT,Windsor County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
4/9/2023,2023,4,Flood,SD,Day County,FLOODING,4718,"75,898",75.898,42.345454545454544,43.309090909090905,0.9636363636363612
1/8/2023,2023,1,Flood,CA,Kings County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Kings County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
7/9/2023,2023,7,Flood,VT,Caledonia County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/7/2023,2023,7,Flood,VT,Caledonia County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
1/8/2023,2023,1,Flood,CA,Mono County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Mono County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/9/2023,2023,4,Flood,SD,Roberts County,FLOODING,4718,"75,898",75.898,42.345454545454544,43.309090909090905,0.9636363636363612
6/8/2023,2023,6,Flood,CO,Washington County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
1/8/2023,2023,1,Flood,CA,Napa County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Napa County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
